    0.145371556282043457E+02    0.119477176666259766E+03    0.190323615074157715E+01    0.103905565738677979E+02   -0.847671674963722035E+05   -0.690775511231546968E+01    1
    0.137072563171386719E+02    0.149589312076568604E+03    0.196870374679565430E+01    0.104351590275764465E+02   -0.847582580647138238E+05   -0.690875511231548245E+01    1
    0.776135683059692383E+02    0.822878479957580566E+02    0.190537214279174805E+01    0.115111706256866455E+02   -0.847439405043548904E+05   -0.690975511231547301E+01    1
    0.145649933815002441E+03    0.663222789764404297E+02    0.183745694160461426E+01    0.117687560319900513E+02   -0.847369410629728372E+05   -0.691075511231547601E+01    1
    0.366074085235595703E+02    0.131867432594299316E+03    0.192455279827117920E+01    0.990201741456985474E+01   -0.847364440990245930E+05   -0.691175511231546658E+01    1
    0.151895678043365479E+03    0.241621613502502441E+02    0.177767968177795410E+01    0.112279180884361267E+02   -0.847294319323768432E+05   -0.691275511231547579E+01    1
    0.135322833061218262E+03    0.135722637176513672E+02    0.180258929729461670E+01    0.102683535218238831E+02   -0.847289212939778081E+05   -0.691375511231547435E+01    1
    0.116592240333557129E+03    0.128716623783111572E+03    0.184033894538879395E+01    0.103692029714584351E+02   -0.847263206877257617E+05   -0.691475511231548357E+01    1
    0.184002983570098877E+03    0.331542849540710449E+02    0.193521285057067871E+01    0.987610620260238647E+01   -0.847258915005195595E+05   -0.691575511231552209E+01    1
    0.596636652946472168E+02    0.168482029438018799E+03    0.193469023704528809E+01    0.116447172760963440E+02   -0.847230779939672939E+05   -0.691675511231554463E+01    1
    0.109523475170135498E+03    0.119402766227722168E+03    0.195528495311737061E+01    0.960528624057769775E+01   -0.847226905353719776E+05   -0.691775511231549967E+01    1
    0.646372318267822266E+02    0.961638212203979492E+02    0.179660654067993164E+01    0.111034909486770630E+02   -0.847164267841123219E+05   -0.691875511231549378E+01    1
    0.105671143531799316E+03    0.790586590766906738E+02    0.161172986030578613E+01    0.112780893445014954E+02   -0.847147123669513530E+05   -0.691975511231551454E+01    1
    0.236356854438781738E+02    0.982964158058166504E+02    0.175098407268524170E+01    0.105815314650535583E+02   -0.847146001649760583E+05   -0.692075511231548113E+01    1
    0.162096285820007324E+03    0.849028706550598145E+02    0.171592950820922852E+01    0.106085477471351624E+02   -0.847138275205652899E+05   -0.692175511231547080E+01    1
    0.994088411331176758E+02    0.872531890869140625E+02    0.151229798793792725E+01    0.119261083602905273E+02   -0.847125720336802478E+05   -0.692275511231549334E+01    1
    0.237301707267761230E+02    0.178721058368682861E+03    0.198314666748046875E+01    0.872309803962707520E+01   -0.847088193968822306E+05   -0.692375511231548746E+01    1
    0.156321978569030762E+03    0.998368740081787109E+02    0.163927018642425537E+01    0.119521209597587585E+02   -0.847084440728164045E+05   -0.692475511231548957E+01    1
    0.888379096984863281E+02    0.630156993865966797E+02    0.184248352050781250E+01    0.117452808022499084E+02   -0.847064579591689690E+05   -0.692575511231552365E+01    1
    0.116591882705688477E+03    0.124482500553131104E+03    0.179729890823364258E+01    0.977549117803573608E+01   -0.847049151378774986E+05   -0.692675511231553909E+01    1
    0.105152416229248047E+03    0.110243320465087891E+03    0.164681720733642578E+01    0.113036427497863770E+02   -0.847048697252365964E+05   -0.692775511231552343E+01    1
    0.169708049297332764E+03    0.117446351051330566E+03    0.192478275299072266E+01    0.978272241353988647E+01   -0.847027727064318606E+05   -0.692875511231550334E+01    1
    0.107627701759338379E+03    0.149872970581054688E+03    0.192425417900085449E+01    0.878850585222244263E+01   -0.847027078570135927E+05   -0.692975511231548769E+01    1
    0.577206492424011230E+02    0.867181301116943359E+02    0.159352326393127441E+01    0.111710949540138245E+02   -0.847021130792721524E+05   -0.693075511231546315E+01    1
    0.614402651786804199E+02    0.770369172096252441E+02    0.194748842716217041E+01    0.930189514160156250E+01   -0.847015515912882256E+05   -0.693175511231550789E+01    1
    0.117275226116180420E+03    0.136795163154602051E+02    0.154636979103088379E+01    0.119146150946617126E+02   -0.847000196397852560E+05   -0.693275511231550912E+01    1
